epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,7544.77,1.09819,0.82655,1.11939,0.8205,0.6522,0.73865,0.45446,1.26665,0.78168,1.15604,0.000136648,0.000136648,0.000136648
81,7637.15,1.09929,0.83015,1.12071,0.82066,0.65272,0.73882,0.45469,1.26631,0.78139,1.15598,0.000125444,0.000125444,0.000125444
82,7729.53,1.10049,0.82657,1.11952,0.82041,0.65183,0.7386,0.45475,1.26609,0.78137,1.15555,0.000114714,0.000114714,0.000114714
83,7821.99,1.09785,0.82637,1.1201,0.82079,0.65244,0.73897,0.45519,1.26578,0.78093,1.15542,0.000104469,0.000104469,0.000104469
84,7914.23,1.08983,0.81993,1.11577,0.82191,0.65202,0.73916,0.45524,1.26552,0.78033,1.15513,9.47192e-05,9.47192e-05,9.47192e-05
85,8006.52,1.09271,0.81969,1.11413,0.82146,0.65305,0.73945,0.4554,1.26525,0.77992,1.15492,8.54738e-05,8.54738e-05,8.54738e-05
86,8098.71,1.0941,0.82096,1.1161,0.82302,0.65305,0.74043,0.45587,1.26487,0.77924,1.15474,7.67421e-05,7.67421e-05,7.67421e-05
87,8191.39,1.09206,0.81953,1.11521,0.82287,0.65371,0.74047,0.45598,1.26485,0.77891,1.15478,6.85327e-05,6.85327e-05,6.85327e-05
88,8283.51,1.0867,0.81021,1.11286,0.82272,0.65366,0.74086,0.45635,1.2646,0.77861,1.15457,6.08538e-05,6.08538e-05,6.08538e-05
89,8375.74,1.08849,0.81668,1.11413,0.824,0.65375,0.7407,0.45653,1.26434,0.77813,1.15421,5.37128e-05,5.37128e-05,5.37128e-05
90,8467.74,1.08998,0.81959,1.11466,0.82383,0.65385,0.74092,0.45662,1.26386,0.77779,1.15397,4.71168e-05,4.71168e-05,4.71168e-05
91,8558.61,0.99076,0.71554,1.05731,0.82367,0.65413,0.74148,0.45668,1.26436,0.77739,1.15435,4.10724e-05,4.10724e-05,4.10724e-05
92,8647.14,0.96916,0.68695,1.0497,0.824,0.65385,0.74117,0.45674,1.26411,0.77712,1.15408,3.55856e-05,3.55856e-05,3.55856e-05
93,8735.46,0.95879,0.67756,1.04481,0.82414,0.65373,0.74111,0.45697,1.26392,0.77686,1.15392,3.06616e-05,3.06616e-05,3.06616e-05
94,8823.74,0.95123,0.67125,1.0404,0.82455,0.65382,0.74118,0.45716,1.26378,0.77683,1.15398,2.63054e-05,2.63054e-05,2.63054e-05
95,8912.24,0.95182,0.6667,1.03996,0.82473,0.65403,0.7411,0.45725,1.26361,0.77686,1.15394,2.25214e-05,2.25214e-05,2.25214e-05
96,9000.75,0.9502,0.66647,1.04004,0.82313,0.65535,0.74117,0.45746,1.26348,0.77654,1.15389,1.93131e-05,1.93131e-05,1.93131e-05
97,9089.08,0.94818,0.66499,1.03952,0.82322,0.65572,0.74122,0.45776,1.26373,0.77666,1.15413,1.66839e-05,1.66839e-05,1.66839e-05
98,9177.56,0.94783,0.66549,1.03734,0.82254,0.65619,0.74111,0.45785,1.26373,0.77627,1.15401,1.46362e-05,1.46362e-05,1.46362e-05
99,9266.04,0.94751,0.66367,1.03939,0.82462,0.65458,0.74119,0.45798,1.26364,0.77649,1.15387,1.31721e-05,1.31721e-05,1.31721e-05
100,9354.49,0.95114,0.66711,1.03897,0.82355,0.65677,0.74167,0.45826,1.26379,0.77654,1.15405,1.22931e-05,1.22931e-05,1.22931e-05
